p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	species
0	5.58663863562598	0.119	0.001	0	Amil-Amillepora22295	Amil
0	5.57974535088521	0.131	0.001	0	Amil-orphan-10474	Amil
0	5.39369368769916	0.262	0.007	0	Amil-Amillepora33313	Amil
0	5.39130738311119	0.272	0.004	0	Amil-orphan-520	Amil
0	5.37353059327893	0.7	0.02	0	Amil-Amillepora19589	Amil
0	5.36371164099414	0.107	0.001	0	Amil-Amillepora22466	Amil
0	5.33794616900863	0.235	0.008	0	Amil-Amillepora09066	Amil
0	5.31825324837828	0.359	0.008	0	Amil-Amillepora22228	Amil
0	5.24056713709155	0.778	0.049	0	Amil-Amillepora37624	Amil
0	5.23057678531951	0.726	0.022	0	Amil-Amillepora12339	Amil
0	5.20467523086703	0.186	0.005	0	Amil-Amillepora24407	Amil
0	5.19256844549191	0.216	0.004	0	Amil-orphan-2150	Amil
0	5.17165740715417	0.556	0.036	0	Amil-Amillepora09555	Amil
0	5.06300514104942	0.604	0.017	0	Amil-Amillepora19445	Amil
0	5.05789446036594	0.138	0.003	0	Amil-orphan-4738	Amil
0	5.00548049295046	0.131	0.004	0	Amil-Amillepora13716	Amil
0	4.98098835639531	0.666	0.04	0	Amil-Amillepora19493	Amil
0	4.97561704614981	0.186	0.005	0	Amil-Amillepora03739	Amil
0	4.95749518964911	0.101	0.002	0	Amil-Amillepora02322	Amil
0	4.95498092946252	0.651	0.026	0	Amil-orphan-14473	Amil
0	4.83105103824522	0.112	0.003	0	Amil-orphan-3416	Amil
0	4.82333922791235	0.661	0.031	0	Amil-Amillepora25026	Amil
0	4.78618230773645	0.415	0.007	0	Amil-orphan-2561	Amil
0	4.73507112267309	0.223	0.01	0	Amil-orphan-751	Amil
0	4.67151520295921	0.129	0.005	0	Amil-orphan-14615	Amil
0	4.64228214049001	0.699	0.033	0	Amil-Amillepora29197	Amil
0	4.60912542456506	0.16	0.007	0	Amil-Amillepora33372	Amil
