p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	species
1.22220886073214e-18	1.51184097187615	0.105	0.036	6.08061130302847e-14	Spis-XP-022808056-1	Spis
1.21730864349293e-34	1.50403307207556	0.256	0.102	6.05623223224168e-30	Spis-XP-022802313-1	Spis
4.35522924597866e-19	1.49967726854526	0.138	0.054	2.16677010216684e-14	Spis-XP-022790333-1	Spis
4.57226125425864e-17	1.48772273160542	0.107	0.038	2.27474569660622e-12	Spis-XP-022792405-1	Spis
2.2915161333242e-27	1.48715031370891	0.232	0.1	1.14005219149012e-22	Spis-XP-022798832-1	Spis
6.77586506747652e-34	1.48196901227555	0.134	0.035	3.37106062972024e-29	Spis-XP-022792869-1	Spis
1.6650208651218e-15	1.46595057057914	0.118	0.047	8.28364530606749e-11	Spis-XP-022803976-1	Spis
7.79640603342654e-18	1.46022596384953	0.122	0.046	3.87878996569004e-13	Spis-Spis21451-1	Spis
2.57041004324455e-166	1.4484118983283	0.989	0.944	1.2788047006146e-161	Spis-orphan-peak-20616	Spis
4.42909271127247e-31	1.44763414188748	0.28	0.127	2.20351791478516e-26	Spis-XP-022807554-1	Spis
2.1882079658416e-161	1.44661731803081	0.997	0.949	1.08865534508585e-156	Spis-orphan-peak-9058	Spis
3.18744085088334e-22	1.44458291222756	0.183	0.077	1.58578369772297e-17	Spis-XP-022791892-1	Spis
7.09459222051159e-15	1.44287171927311	0.1	0.038	3.52963057562672e-10	Spis-XP-022796827-1	Spis
1.59095623613434e-26	1.43979015570004	0.159	0.056	7.91516637039197e-22	Spis-XP-022778618-1	Spis
1.4987956264178e-18	1.43956618648115	0.138	0.055	7.4566581209912e-14	Spis-XP-022781854-1	Spis
9.92642211244522e-27	1.43716398150415	0.141	0.046	4.93849426516262e-22	Spis-XP-022794244-1	Spis
6.18648839260882e-14	1.43468394304835	0.121	0.052	3.07783984020681e-09	Spis-orphan-peak-12931	Spis
1.20110621802837e-20	1.42950509524614	0.119	0.041	5.97562354531293e-16	Spis-XP-022796159-1	Spis
1.38634379456296e-28	1.42055698399372	0.173	0.061	6.89719901233018e-24	Spis-XP-022795196-1	Spis
2.58904405139134e-68	1.40557751754034	0.539	0.243	1.2880753060077e-63	Spis-XP-022797372-1	Spis
6.76554657201655e-41	1.4051590539556	0.229	0.077	3.36592707504395e-36	Spis-XP-022792123-1	Spis
3.40923321322232e-37	1.39573293786398	0.197	0.064	1.69612761591024e-32	Spis-XP-022789813-1	Spis
7.0249999993697e-24	1.39571915805851	0.213	0.092	3.49500774968642e-19	Spis-XP-022780562-1	Spis
